week,country,quantity,revenue
2009-12-06,Belgium,143,439.09999999999997
2009-12-13,Belgium,10,8.5
2009-12-20,Belgium,0,0.0
2009-12-27,Belgium,0,0.0
2010-01-03,Belgium,0,0.0
2010-01-10,Belgium,200,404.54999999999995
2010-01-17,Belgium,482,1120.2700000000007
2010-01-24,Belgium,0,0.0
2010-01-31,Belgium,45,109.19999999999999
2010-02-07,Belgium,87,191.7
2010-02-14,Belgium,0,0.0
2010-02-21,Belgium,617,3017.3
2010-02-28,Belgium,0,0.0
2010-03-07,Belgium,487,904.0199999999999
2010-03-14,Belgium,0,0.0
2010-03-21,Belgium,0,0.0
2010-03-28,Belgium,0,0.0
2010-04-04,Belgium,131,245.75999999999996
2010-04-11,Belgium,0,0.0
2010-04-18,Belgium,902,1439.0899999999997
2010-04-25,Belgium,0,0.0
2010-05-02,Belgium,412,885.5400000000002
2010-05-09,Belgium,38,98.15
2010-05-16,Belgium,0,0.0
2010-05-23,Belgium,0,0.0
2010-05-30,Belgium,0,0.0
2010-06-06,Belgium,372,489.26
2010-06-13,Belgium,0,0.0
2010-06-20,Belgium,49,346.25
2010-06-27,Belgium,163,367.48
2010-07-04,Belgium,1004,2597.3500000000013
2010-07-11,Belgium,622,553.3700000000001
2010-07-18,Belgium,0,0.0
2010-07-25,Belgium,671,1166.76
2010-08-01,Belgium,100,194.10000000000002
2010-08-08,Belgium,127,251.38000000000005
2010-08-15,Belgium,0,0.0
2010-08-22,Belgium,221,325.3999999999999
2010-08-29,Belgium,0,0.0
2010-09-05,Belgium,667,1250.8400000000001
2010-09-12,Belgium,170,326.65
2010-09-19,Belgium,320,465.46
2010-09-26,Belgium,100,284.8
2010-10-03,Belgium,0,0.0
2010-10-10,Belgium,35,65.3
2010-10-17,Belgium,328,740.5000000000001
2010-10-24,Belgium,0,0.0
2010-10-31,Belgium,301,669.92
2010-11-07,Belgium,0,0.0
2010-11-14,Belgium,757,1133.8799999999997
2010-11-21,Belgium,1374,2180.6999999999994
2010-11-28,Belgium,612,1938.3999999999999
2010-12-05,Belgium,1056,692.1999999999999
2010-12-12,Belgium,0,0.0
2010-12-19,Belgium,285,625.16
2010-12-26,Belgium,942,838.6500000000003
2011-01-02,Belgium,0,0.0
2011-01-09,Belgium,0,0.0
2011-01-16,Belgium,590,651.1599999999999
2011-01-23,Belgium,94,225.6
2011-01-30,Belgium,108,323.43999999999994
2011-02-06,Belgium,21,213.9
2011-02-13,Belgium,273,315.81
2011-02-20,Belgium,508,1119.2000000000003
2011-02-27,Belgium,285,382.21
2011-03-06,Belgium,312,1119.0700000000002
2011-03-13,Belgium,0,0.0
2011-03-20,Belgium,306,583.3699999999999
2011-03-27,Belgium,1180,1799.4899999999998
2011-04-03,Belgium,0,0.0
2011-04-10,Belgium,438,731.8499999999999
